address,epoch,reason,exclusion_block_height,exclusion_time_utc,weight,confirmation_weight,inference_count,invalidated_inferences,invalid_rate,missed_requests,actual_rewarded_gonka,naive_cw_lost_gonka,delegation_share,delegation_transfer_weight,reward_weight_after_delegation,recommended_lost_gonka,weight_alternative_lost_gonka,root_total_weight,theoretical_reward_gonka,denominator_mode
gonka16dgkvx7mh609ntkzknckwaskgq9lcdp86j0skk,366,statistical_invalidations,5652213,2026-08-20T04:20:17.554997104Z,60555,57537,24778,529,0.021349584308660907,176,0.000000,37609.316890,0,0,57537,37609.316890,39582.046062,415488,271585.585902,root_total_weight
gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv,366,statistical_invalidations,5652288,2026-08-20T04:26:52.855658057Z,43786,42180,14416,868,0.06021087680355161,242,0.000000,27571.145288,0.05,2109,40071,26192.588023,28620.914357,415488,271585.585902,root_total_weight
